2002-08-11-big-img_591 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3447 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16167 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_840 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_1001 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_431 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_618 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_741 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_964 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_86 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_275 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_921 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-26-big-img_892 : pred total 5, gt total 6, recall 5, miss 1, FP 0
2002-08-21-big-img_663 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-13-big-img_567 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_719 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_251 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_1123 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_260 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-24-big-img_337 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1914 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-13-big-img_373 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_589 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_906 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_270 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_313 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_694 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2003-01-01-big-img_327 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_261 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_642 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_918 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-23-big-img_455 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_612 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_534 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-19-big-img_534 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_726 : pred total 6, gt total 4, recall 4, miss 0, FP 2
2002-08-01-big-img_2146 : pred total 9, gt total 8, recall 8, miss 0, FP 1
2002-08-02-big-img_543 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_777 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_484 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_1161 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2002-07-21-big-img_390 : pred total 6, gt total 15, recall 6, miss 9, FP 0
2002-08-06-big-img_2288 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_677 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_747 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_1248 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_416 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-09-02-big-img_15259 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_781 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_754 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-24-big-img_803 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_609 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-28-big-img_19571 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16140 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_769 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_588 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-02-big-img_898 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_466 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_1046 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_212 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_353 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_810 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-31-big-img_17824 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-12-big-img_631 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_828 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_130 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_580 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-31-big-img_699 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_808 : pred total 6, gt total 3, recall 3, miss 0, FP 3
2002-07-31-big-img_377 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_570 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16254 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_471 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1548 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_252 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_576 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_464 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_735 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-21-big-img_589 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_1192 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_302 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-31-big-img_594 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-23-big-img_19 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18819 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-19-big-img_293 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_331 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_607 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-30-big-img_363 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-16-big-img_766 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_481 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-06-big-img_2515 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-09-02-big-img_15913 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-09-02-big-img_15827 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15053 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1576 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_268 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_152 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_578 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-21-big-img_589 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-20-big-img_548 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19693 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-31-big-img_17252 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_138 : pred total 5, gt total 3, recall 3, miss 0, FP 2
2002-07-23-big-img_372 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-16-big-img_695 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_287 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-15-big-img_315 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-10-big-img_361 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-29-big-img_899 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_771 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_92 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_425 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_450 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16942 : pred total 1, gt total 5, recall 1, miss 4, FP 0
2002-08-02-big-img_51 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15379 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-08-24-big-img_147 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-30-big-img_18122 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_950 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-07-big-img_1400 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_468 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_470 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-07-30-big-img_318 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-22-big-img_644 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-27-big-img_19732 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_601 : pred total 1, gt total 2, recall 1, miss 1, FP 0
2002-08-26-big-img_398 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_428 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-06-big-img_2119 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_19103 : pred total 6, gt total 3, recall 3, miss 0, FP 3
2003-01-14-big-img_933 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_674 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19420 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-03-big-img_418 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-17-big-img_312 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-25-big-img_1044 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_671 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-30-big-img_18297 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-25-big-img_755 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_471 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_39 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-26-big-img_699 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2003-01-14-big-img_33 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-31-big-img_411 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-16-big-img_645 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_116 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15903 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_120 : pred total 1, gt total 3, recall 1, miss 2, FP 0
2002-08-22-big-img_176 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-29-big-img_1316 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-27-big-img_19914 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_719 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19239 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-13-big-img_385 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_525 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-19-big-img_782 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_843 : pred total 7, gt total 7, recall 7, miss 0, FP 0
2002-07-30-big-img_107 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-11-big-img_752 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-29-big-img_383 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-26-big-img_249 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18860 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_70 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_194 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_530 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_816 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2002-07-31-big-img_286 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-13-big-img_294 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_251 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-07-24-big-img_13 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17938 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_642 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_728 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-18-big-img_47 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-22-big-img_306 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_348 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_764 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_163 : pred total 3, gt total 1, recall 1, miss 0, FP 2
2002-07-23-big-img_531 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_467 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_743 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_535 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_523 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_120 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-11-big-img_496 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-08-29-big-img_19075 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-08-big-img_465 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_790 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-19-big-img_588 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_407 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_435 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_398 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19899 : pred total 9, gt total 10, recall 9, miss 1, FP 0
2003-01-15-big-img_335 : pred total 3, gt total 5, recall 3, miss 2, FP 0
2002-08-13-big-img_493 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15460 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_470 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3550 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_123 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1498 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_504 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_427 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19708 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_861 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_685 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_207 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2003-01-14-big-img_745 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17756 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_288 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-18-big-img_181 : pred total 1, gt total 3, recall 1, miss 2, FP 0
2002-08-10-big-img_520 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-25-big-img_705 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-23-big-img_226 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-04-big-img_727 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_625 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-28-big-img_19157 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-23-big-img_586 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-31-big-img_232 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2003-01-13-big-img_240 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_321 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_533 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-23-big-img_480 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-24-big-img_371 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-21-big-img_702 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17075 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15278 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-29-big-img_246 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-15-big-img_829 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_1213 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_441 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_921 : pred total 5, gt total 3, recall 3, miss 0, FP 2
2002-07-23-big-img_425 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_296 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-19-big-img_135 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_402 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2003-01-17-big-img_88 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_872 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_1110 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_1040 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-23-big-img_9 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-13-big-img_700 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-16-big-img_371 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19966 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_391 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_426 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1618 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-21-big-img_754 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_1101 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_1022 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-24-big-img_86 : pred total 3, gt total 1, recall 1, miss 0, FP 2
2002-08-17-big-img_582 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-15-big-img_765 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-17-big-img_449 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-28-big-img_265 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_552 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_115 : pred total 5, gt total 3, recall 3, miss 0, FP 2
2003-01-16-big-img_56 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-02-big-img_1232 : pred total 5, gt total 4, recall 4, miss 0, FP 1
2003-01-17-big-img_925 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-22-big-img_445 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_957 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2002-07-20-big-img_589 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-31-big-img_17107 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-07-29-big-img_483 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-14-big-img_1063 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-07-big-img_1545 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-14-big-img_680 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-01-big-img_16694 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-14-big-img_257 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-11-big-img_726 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-26-big-img_681 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_481 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_737 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-28-big-img_19480 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-16-big-img_362 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-27-big-img_19865 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-01-big-img_547 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-09-02-big-img_15074 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1453 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_594 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-28-big-img_19263 : pred total 2, gt total 2, recall 1, miss 1, FP 1
2002-08-13-big-img_478 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-07-29-big-img_1358 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2003-01-14-big-img_1022 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_450 : pred total 9, gt total 9, recall 9, miss 0, FP 0
2002-08-02-big-img_159 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-26-big-img_781 : pred total 4, gt total 2, recall 2, miss 0, FP 2
2003-01-13-big-img_601 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-20-big-img_407 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-15-big-img_468 : pred total 15, gt total 13, recall 11, miss 2, FP 4
2002-08-31-big-img_17902 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_81 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_987 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_500 : pred total 2, gt total 1, recall 1, miss 0, FP 1
2002-08-02-big-img_31 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_538 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-08-big-img_54 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-23-big-img_686 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-24-big-img_836 : pred total 5, gt total 5, recall 5, miss 0, FP 0
2003-01-17-big-img_734 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-16-big-img_1055 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_521 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_612 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_778 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_251 : pred total 4, gt total 1, recall 1, miss 0, FP 3
2002-08-12-big-img_436 : pred total 4, gt total 3, recall 3, miss 0, FP 1
2002-08-23-big-img_705 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-28-big-img_243 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-07-25-big-img_1029 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-20-big-img_287 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18739 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-05-big-img_3272 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_214 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-14-big-img_5 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-01-big-img_1380 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_19097 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-30-big-img_486 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-29-big-img_18707 : pred total 2, gt total 2, recall 2, miss 0, FP 0
2002-08-10-big-img_559 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-15-big-img_365 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-09-big-img_525 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-10-big-img_689 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_502 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-03-big-img_667 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-10-big-img_855 : pred total 4, gt total 4, recall 3, miss 1, FP 1
2002-08-10-big-img_706 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-18-big-img_603 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-16-big-img_1055 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17890 : pred total 3, gt total 2, recall 2, miss 0, FP 1
2002-08-15-big-img_761 : pred total 4, gt total 4, recall 4, miss 0, FP 0
2003-01-15-big-img_489 : pred total 5, gt total 5, recall 4, miss 1, FP 1
2002-08-26-big-img_351 : pred total 3, gt total 3, recall 3, miss 0, FP 0
2002-08-01-big-img_1772 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-31-big-img_17729 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-25-big-img_609 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2003-01-13-big-img_539 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-27-big-img_686 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-07-31-big-img_311 : pred total 1, gt total 1, recall 1, miss 0, FP 0
2002-08-22-big-img_799 : pred total 2, gt total 2, recall 2, miss 0, FP 0
